"Gene","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000164530","PI16",-3.70895655298195,2.21312736604351,-9.97884360689394,5.76933515236822e-06,0.00325224878442205,4.5778141856141
"ENSG00000204936","CD177",-5.24129011898708,4.28130755396059,-9.94608332410967,5.92033301366613e-06,0.00325224878442205,4.55389604392905
"ENSG00000172348","RCAN2",-1.97454120173033,1.89609644612404,-9.91283485001419,6.07807687205869e-06,0.00325224878442205,4.52952894584561
"ENSG00000167916","KRT24",-2.24448471836556,1.14004263937232,-9.90104724271487,6.13511682436207e-06,0.00325224878442205,4.5208675934352
"ENSG00000091138","SLC26A3",-6.13914535576308,4.85919800014278,-9.89895042312131,6.14532535652504e-06,0.00325224878442205,4.51932564779463
"ENSG00000107562","CXCL12",-2.90629695869101,2.4185971781615,-9.62387008327109,7.66341792604664e-06,0.00325224878442205,4.31375896071311
"ENSG00000120149","MSX2",2.08923508221323,1.39070880555013,9.61300907491839,7.73135717894136e-06,0.00325224878442205,4.3055070852637
"ENSG00000175832","ETV4",4.45915009097635,3.10005837404176,9.61272866514515,7.73312005641789e-06,0.00325224878442205,4.30529389995429
"ENSG00000249948","GBA3",-2.42525420848412,1.50721126162935,-9.59672004917657,7.83450568378275e-06,0.00325224878442205,4.29311158415935
"ENSG00000163993","S100P",5.36998873405797,5.84010211366606,9.55056668654384,8.13514707914809e-06,0.00325224878442205,4.25786210970869
"ENSG00000141434","MEP1B",-1.86122677559929,1.34079790441877,-9.50772961347995,8.42566474192819e-06,0.00325224878442205,4.22497521080567
"ENSG00000170323","FABP4",-3.41606061532511,2.41672012256754,-9.45337939609552,8.8109436983707e-06,0.00325224878442205,4.18301190349658
"ENSG00000142959","BEST4",-4.35273218136681,2.76448256567833,-9.43148653500744,8.97162200471393e-06,0.00325224878442205,4.16603312639191
"ENSG00000006327","TNFRSF12A",3.48472062337069,3.809490141771,9.41294025060396,9.11028171921976e-06,0.00325224878442205,4.15161567092555
"ENSG00000077152","UBE2T",2.16856849778643,3.50514280114023,9.40736410095864,9.15243446540987e-06,0.00325224878442205,4.14727477423442
"ENSG00000168079","SCARA5",-3.55233629103214,2.37702212441088,-9.38507842320799,9.32307385387562e-06,0.00325224878442205,4.12989757385223
"ENSG00000175592","FOSL1",2.82958155095239,2.00758760268098,9.33204752859183,9.74348063549353e-06,0.00325224878442205,4.08836382718508
"ENSG00000179314","WSCD1",-2.50114538402371,1.74447622630654,-9.33115828314225,9.75070698570294e-06,0.00325224878442205,4.08766516540516
"ENSG00000135069","PSAT1",2.5593435175889,2.81303553804296,9.31417475902655,9.88986776825034e-06,0.00325224878442205,4.07430755007912
"ENSG00000151623","NR3C2",-1.8641468787391,2.09829036175988,-9.30560209261473,9.96094574095573e-06,0.00325224878442205,4.06755498491722
"ENSG00000134028","ADAMDEC1",-4.21696154031003,4.76021951793099,-9.19440478981888,1.09360722782454e-05,0.00345937935030045,3.97934678699442
"ENSG00000105464","GRIN2D",2.78768735979775,2.06263444176702,9.14324801478807,1.14198290505807e-05,0.00345937935030045,3.93837653251284
"ENSG00000168229","PTGDR",-1.67300085636481,1.20172210323856,-9.14201095627866,1.14318169873715e-05,0.00345937935030045,3.93738273583935
"ENSG00000101144","BMP7",2.43140084133976,2.21441500285199,9.08851839157489,1.19637737729347e-05,0.00353415574287622,3.8942700389989
"ENSG00000118777","ABCG2",-2.5551112545871,1.55920233471936,-8.99748576965063,1.29332302133034e-05,0.00367697089942037,3.82027163497078
"ENSG00000152669","CCNO",2.25846623149014,2.21476261172047,8.98792862569654,1.30399548298941e-05,0.00367697089942037,3.81245645696423
"ENSG00000172005","MAL",-2.26444298830456,1.33599976508727,-8.87353868359967,1.43959545330372e-05,0.00396912461980873,3.71822478956222
"ENSG00000183034","OTOP2",-3.89804424627103,2.1132858850446,-8.76749370754478,1.5793595916411e-05,0.00418342828278811,3.6297145862712
"ENSG00000106809","OGN",-2.87730268582742,1.60037534874727,-8.71741653500117,1.65052832361812e-05,0.00418342828278811,3.58752702698431
"ENSG00000135218","CD36",-1.66698474553399,1.31926978071719,-8.71006830951519,1.66126693862458e-05,0.00418342828278811,3.58131524692052
"ENSG00000163347","CLDN1",3.04598601571474,2.20956479806545,8.7008979039104,1.67477706542634e-05,0.00418342828278811,3.57355544002255
"ENSG00000181577","LINC03040",3.58706958901774,2.0559040173714,8.67634605495097,1.71154993584576e-05,0.00418342828278811,3.55273823810823
"ENSG00000101187","SLCO4A1",2.50583958665774,2.64802035773372,8.66776235289339,1.72461635957838e-05,0.00418342828278811,3.54544578908265
"ENSG00000078596","ITM2A",-2.14650454911645,2.19843585345138,-8.62662121940305,1.78879452081633e-05,0.00418342828278811,3.51038933188089
"ENSG00000135220","UGT2A3",-3.04650769466187,2.3934801513575,-8.60979167444822,1.81580564143938e-05,0.00418342828278811,3.49599897234242
"ENSG00000203859","HSD3B2",-3.04176835623208,1.80765065523902,-8.60671783099312,1.82078767849245e-05,0.00418342828278811,3.49336749919285
"ENSG00000196616","ADH1B",-3.19128874159886,1.80773280235934,-8.56871212580572,1.88365240456527e-05,0.00421717258068621,3.46075109676835
"ENSG00000108187","PBLD",-2.52178929935711,2.69945897764441,-8.55703013671891,1.90345502150744e-05,0.00421717258068621,3.45069572365647
"ENSG00000138744","NAAA",-2.33088099495562,2.98210394924935,-8.47807293297168,2.04349415331884e-05,0.00424867455202129,3.38236140240576
"ENSG00000016602","CLCA4",-5.46769690416217,3.93443323800961,-8.45827048476591,2.08037820022187e-05,0.00424867455202129,3.36512117357324
"ENSG00000138193","PLCE1",-1.54831209450768,1.6492733457946,-8.44515636288496,2.10520959599576e-05,0.00424867455202129,3.35368123748456
"ENSG00000146469","VIP",-3.17073073658476,2.84152927227882,-8.43390018783158,2.1267845566562e-05,0.00424867455202129,3.34384764061922
"ENSG00000079689","SCGN",-2.82942613116151,1.94720772169713,-8.42754020942064,2.13908290084478e-05,0.00424867455202129,3.3382855520059
"ENSG00000104435","STMN2",-2.42766539358182,1.94202965197537,-8.42105477228628,2.15170488504215e-05,0.00424867455202129,3.33260935394052
"ENSG00000162706","CADM3",-2.2480164871575,1.27217295789733,-8.41815099499231,2.15738290301718e-05,0.00424867455202129,3.33006646594309
"ENSG00000168309","FAM107A",-2.09575882372015,1.56430061836444,-8.38821275256173,2.21689980027083e-05,0.00426026625187702,3.30379707496546
"ENSG00000124615","MOCS1",-1.98559702354517,2.00786239433919,-8.37537510717216,2.24297517771462e-05,0.00426026625187702,3.29250356663167
"ENSG00000167767","KRT80",2.5746123300012,1.35599477383654,8.35558938701185,2.28382986993374e-05,0.00426026625187702,3.27506342250283
"ENSG00000172927","MYEOV",2.45313689703176,2.22105940932198,8.34757151834651,2.30061931873749e-05,0.00426026625187702,3.26798419771024
"ENSG00000112559","MDFI",3.26257848397375,2.53077571969058,8.3060303380826,2.38982081068029e-05,0.00434300771290821,3.23119624514336
"ENSG00000146039","SLC17A4",-2.63622104862475,1.90069958763378,-8.29011234917967,2.4250092693499e-05,0.00434300771290821,3.21705061782558
"ENSG00000124205","EDN3",-3.29718128692221,2.18538685472579,-8.2788221334799,2.45031466030124e-05,0.00434300771290821,3.2070009769753
"ENSG00000169174","PCSK9",3.19251677112302,2.88073030233872,8.24463515575867,2.52873721908505e-05,0.00436333820813116,3.17648664405397
"ENSG00000071539","TRIP13",1.57098789716789,1.53103496329236,8.24318618712537,2.53212179403114e-05,0.00436333820813116,3.17519054464633
"ENSG00000184220","CMSS1",1.54541668580302,2.11374026691011,8.20600561222077,2.6207059913686e-05,0.00445412318286442,3.14185469191458
"ENSG00000184434","LRRC19",-2.45791878363247,2.59455715638127,-8.07922212021914,2.94951747841548e-05,0.00490120395442406,3.02704470215166
"ENSG00000036672","USP2",-2.18872847026784,1.4335387896274,-8.07340190161417,2.96567012182355e-05,0.00490120395442406,3.02173159229298
"ENSG00000140274","DUOXA2",3.23892870429912,2.12304456138287,8.06034297812231,3.00226888479268e-05,0.00490120395442406,3.00979678615782
"ENSG00000093072","ADA2",-1.79937963540435,2.41196384876704,-8.02679800352726,3.09858946601744e-05,0.00492541055193113,2.97905233783106
"ENSG00000164176","EDIL3",-1.86746063473493,2.27978367758208,-8.01618492146364,3.12977072403209e-05,0.00492541055193113,2.96929913126257
"ENSG00000206075","SERPINB5",2.96264762615093,1.84928144967326,8.01401358128911,3.13619274282711e-05,0.00492541055193113,2.96730216047446
"ENSG00000124253","PCK1",-2.56549867504996,2.87062348028998,-7.96858423040911,3.27395024370608e-05,0.00502280750081843,2.92539966284011
"ENSG00000168748","CA7",-3.9021555883764,2.6449655805838,-7.96048502460687,3.2992049235009e-05,0.00502280750081843,2.9179048346726
"ENSG00000104332","SFRP1",-2.79056689734265,1.60161524589193,-7.95397508777614,3.31965999086895e-05,0.00502280750081843,2.91187531427611
"ENSG00000227196","IGHD4-23",-2.01813698420223,1.00906849210111,-7.92730515833382,3.40493492218486e-05,0.00506908272071531,2.88712351830036
"ENSG00000115263","GCG",-2.62164708390041,1.73017237257806,-7.91900746041561,3.43195735101222e-05,0.00506908272071531,2.87940616075825
"ENSG00000007306","CEACAM7",-5.62651031677473,5.94145850633194,-7.88433730454199,3.54745499009994e-05,0.00515404245094227,2.84707613993067
"ENSG00000160307","S100B",-2.13442423277036,2.22275829840859,-7.87696585255152,3.57256106053869e-05,0.00515404245094227,2.84018457751019
"ENSG00000188242","SLC9A3-OT1",-3.10825901184782,4.66848471167626,-7.82479927566401,3.75594166067484e-05,0.00535631818206813,2.79123628193077
